class,num_clients,Sum of Instances in Clients,Max. Of Instances in Clients,Min. Of Instances in Clients,Stddev of Instances in Clients,Average Dataset Missing Values %,Min Dataset Missing Values %,Max Dataset Missing Values %,Stddev Dataset Missing Values %,Average Target Missing Values %,Min Target Missing Values %,Max Target Missing Values %,Stddev Target Missing Values %,No. Of Features,No. Of Numerical Features,No. Of Categorical Features,Sampling Rate,Average Skewness of Numerical Features,Minimum Skewness of Numerical Features,Maximum Skewness of Numerical Features,Stddev Skewness of Numerical Features,Average Kurtosis of Numerical Features,Minimum Kurtosis of Numerical Features,Maximum Kurtosis of Numerical Features,Stddev Kurtosis of Numerical Features,Avg No. of Symbols per Categorical Features,Min. No. Of Symbols per Categorical Features,Max. No. Of Symbols per Categorical Features,Stddev No. Of Symbols per Categorical Features,Avg No. Of Stationary Features,Min No. Of Stationary Features,Max No. Of Stationary Features,Stddev No. Of Stationary Features,Avg No. Of Stationary Features after 1st order,Min No. Of Stationary Features after 1st order,Max No. Of Stationary Features after 1st order,Stddev No. Of Stationary Features after 1st order,Avg No. Of Stationary Features after 2nd order,Min No. Of Stationary Features after 2nd order,Max No. Of Stationary Features after 2nd order,Stddev No. Of Stationary Features after 2nd order,Avg No. Of Significant Lags in Target,Min No. Of Significant Lags in Target,Max No. Of Significant Lags in Target,Stddev No. Of Significant Lags in Target,Avg No. Of Insignificant Lags in Target,Max No. Of Insignificant Lags in Target,Min No. Of Insignificant Lags in Target,Stddev No. Of Insignificant Lags in Target,Avg. No. Of Seasonality Components in Target,Max No. Of Seasonality Components in Target,Min No. Of Seasonality Components in Target,Stddev No. Of Seasonality Components in Target,Average Fractal Dimensionality Across Clients of Target,Maximum Period of Seasonality Components in Target Across Clients,Minimum Period of Seasonality Components in Target Across Clients,Entropy of Target Stationarity
LASSO,5,5760,1152,1152,0,4.861111111,4.600694444,5.208333333,0.251586402,4.861111111,4.600694444,5.208333333,0.251586402,4,4,0,1,1.482718025,0.000186604,4.512430512,0.888332968,7.860322511,1.062922305,23.36251211,5.079231098,0,0,0,0,3,2,4,0.632455532,3,3,3,0,4,4,4,0,2,2,2,0,0,0,0,0,0,0,0,0,0.021345298,0,0,0.500402424
XGBRegressor,20,27641,1383,1382,0.217944947,4.985360795,4.269175109,6.078147612,0.494019903,4.985360795,4.269175109,6.078147612,0.494019903,3,3,0,0.166666667,1.68747954,0.050991692,4.925416491,1.169654366,9.077743617,1.177699388,31.17537344,5.969096586,0,0,0,0,3,3,3,0,3,3,3,0,3,3,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0.140537298,0,0,0
HUBERREGRESSOR,20,27641,1383,1382,0.217944947,4.992531285,4.052098408,6.435285611,0.608724988,4.992531285,4.052098408,6.435285611,0.608724988,4,4,0,0.166666667,3.282144909,1.33E-07,5.733291094,0.636760845,18.8993647,1.068405624,40.36645746,4.614517868,0,0,0,0,2.8,1,3,0.6,3.15,3,4,0.357071421,4,4,4,0,3,3,3,0,1,1,1,0,0,0,0,0,0.013614438,0,0,0.325082973
LASSO,5,12671,2535,2534,0.4,4.79834799,4.5382794,4.932912391,0.144315552,4.79834799,4.5382794,4.932912391,0.144315552,1,1,0,0.5,0.574938529,0.019568732,1.379377485,0,1.102825473,0.563629825,1.837266742,0,0,0,0,0,0.4,0,1,0.489897949,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011844782,0,0,0.500402424
XGBRegressor,20,24181,1210,1209,0.217944947,5.045276815,3.639371381,6.203473945,0.606629216,5.045276815,3.639371381,6.203473945,0.606629216,3,3,0,0.166666667,1.675379835,0.031722837,5.064333248,1.253836944,9.576028016,0.929347671,32.57368637,6.664550939,0,0,0,0,3,3,3,0,3,3,3,0,3,3,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0.151060185,0,0,0
XGBRegressor,20,20721,1037,1036,0.217944947,5.023879955,3.861003861,6.274131274,0.741658759,5.023879955,3.861003861,6.274131274,0.741658759,2,2,0,0.166666667,1.064246513,0.001937412,4.756516048,1.524065794,6.366455915,1.219080339,29.03097066,7.954769486,0,0,0,0,2,2,2,0,2,2,2,0,2,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0.181880734,0,0,0
XGBRegressor,5,9216,1844,1843,0.4,4.850274769,4.395008139,5.425935974,0.443088885,4.850274769,4.395008139,5.425935974,0.443088885,2,2,0,0.5,2.35742371,0.934447651,4.562518906,0.000395744,9.528247258,0.105796311,25.00155984,0.003371579,0,0,0,0,2,2,2,0,2,2,2,0,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0.279381838,0,0,0
HUBERREGRESSOR,5,34560,6912,6912,0,5.014467593,4.817708333,5.251736111,0.147711215,5.014467593,4.817708333,5.251736111,0.147711215,4,4,0,0.166666667,2.448687221,0.007822647,4.547594645,0.669318633,13.57186928,0.481584018,26.5238042,3.052320889,0,0,0,0,3.2,3,4,0.4,3.2,3,4,0.4,4,4,4,0,3,3,3,0,1,1,1,0,0,0,0,0,0.014133924,0,0,0
HUBERREGRESSOR,10,10361,1037,1036,0.3,5.10566566,3.957528958,5.984555985,0.598673343,5.10566566,3.957528958,5.984555985,0.598673343,3,3,0,0.5,0.045971152,0,0.100118552,0.017916836,1.267524656,1.140466462,1.390753272,0.019593833,0,0,0,0,0,0,0,0,3,3,3,0,3,3,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0.189385419,0,0,0
LASSO,5,7006,1402,1401,0.4,5.081371468,4.211277659,5.496074233,0.47445625,5.081371468,4.211277659,5.496074233,0.47445625,9,9,0,1,0.583778276,6.01E-05,3.30706845,0.386795729,4.005918983,0.202719099,21.65297584,2.578339435,0,0,0,0,7.2,6,8,0.979795897,8,8,8,0,9,9,9,0,2,2,2,0,0,0,0,0,5,5,5,0,0.336742666,1402,24,0.673011667
XGBRegressor,10,14011,1402,1401,0.3,5.067549061,3.637660485,5.781584582,0.600359877,5.067549061,3.637660485,5.781584582,0.600359877,1,1,0,0.5,0.732351186,0.000190562,3.0345412,0,1.805112185,0.641867695,8.265900283,0,0,0,0,0,0.4,0,1,0.489897949,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024940802,0,0,0.500402424
XGBRegressor,5,17280,3456,3456,0,5.063657407,4.6875,5.266203704,0.202132514,5.063657407,4.6875,5.266203704,0.202132514,6,6,0,0.166666667,2.044982188,0.018862717,4.553044865,0.647894697,7.425057858,0.118445269,24.87385602,3.68094778,0,0,0,0,5.2,5,6,0.4,5.2,5,6,0.4,6,6,6,0,5,5,5,0,3,3,3,0,0,0,0,0,0.10000162,0,0,0
XGBRegressor,15,27646,1844,1843,0.249443826,5.056813434,4.340748779,6.34834509,0.523347131,5.056813434,4.340748779,6.34834509,0.523347131,1,1,0,0.166666667,0.396022241,0.000106065,2.222037616,0,1.264938553,0.05727778,3.789032413,0,0,0,0,0,0.266666667,0,1,0.442216639,0.133333333,0,1,0.339934634,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015813891,0,0,0.392674467
LinearSVR,10,14011,1402,1401,0.3,5.053181903,4.282655246,6.067094932,0.501566277,5.053181903,4.282655246,6.067094932,0.501566277,6,6,0,0.5,1.574838272,1.87E-06,3.491459897,0.409231989,8.798692645,0.839012104,21.98588573,2.283578314,0,0,0,0,5.3,5,6,0.458257569,5,5,5,0,6,6,6,0,4,4,4,0,2,2,2,0,0,0,0,0,0.190580094,0,0,0
XGBRegressor,15,12661,845,844,0.249443826,5.031202969,3.672985782,6.398104265,0.698805771,5.031202969,3.672985782,6.398104265,0.698805771,6,6,0,0.5,1.426196616,9.28E-05,4.943806142,0.872879176,6.984882033,0.133544074,31.66816256,5.339286532,0,0,0,0,1.6,0,4,1.743559577,5.533333333,5,6,0.498887652,5.933333333,5,6,0.249443826,4,4,4,0,2,2,2,0,0,0,0,0,0.079663502,0,0,0.636514168
QUANTILEREGRESSOR,10,10361,1037,1036,0.3,4.951244122,4.054054054,5.984555985,0.516141796,4.951244122,4.054054054,5.984555985,0.516141796,4,4,0,0.166666667,0.253860619,0.03487199,0.705126573,0.110353323,0.888757517,0.314842066,1.516535255,0.113024365,0,0,0,0,4,4,4,0,4,4,4,0,4,4,4,0,3,3,3,0,1,1,1,0,0,0,0,0,0.23033543,0,0,0
LinearSVR,10,42041,4205,4204,0.3,5.009399349,4.424357755,5.566127498,0.297006716,5.009399349,4.424357755,5.566127498,0.297006716,2,2,0,0.166666667,0.370067147,0.000131391,3.250029341,0.641057729,1.562543258,0.470040447,9.662199754,1.743110548,0,0,0,0,1.4,1,2,0.489897949,1,1,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016254158,0,0,0.500402424
HUBERREGRESSOR,20,17280,864,864,0,5.185185185,3.819444444,6.712962963,0.726129034,5.185185185,3.819444444,6.712962963,0.726129034,6,6,0,0.166666667,2.150965922,1.07E-06,4.919076837,0.477112223,12.01229118,0.160138624,29.84310989,3.336109169,0,0,0,0,4.95,3,6,0.497493719,5.1,4,6,0.538516481,5.85,5,6,0.357071421,3,3,3,0,1,1,1,0,2,2,2,0,0.014285937,4,4,0.198515243
LinearSVR,10,10361,1037,1036,0.3,4.999590443,4.054054054,5.694980695,0.58575985,4.999590443,4.054054054,5.694980695,0.58575985,5,5,0,0.166666667,0.285088417,0,0.951497956,0.101405677,0.931400571,0.092946504,1.686636058,0.159632949,0,0,0,0,0.7,0,1,0.458257569,4,4,4,0,5,5,5,0,3,3,3,0,1,1,1,0,0,0,0,0,0.059591378,0,0,0
LASSO,10,17280,1728,1728,0,5.069444444,4.224537037,5.844907407,0.428553439,5.069444444,4.224537037,5.844907407,0.428553439,2,1,1,0.166666667,0.214606723,0.033216201,0.751425296,0,0.937649951,0.114389354,1.380406784,0,1,1,1,0,1,1,1,0,1,1,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068383456,0,0,0
XGBRegressor,10,10361,1037,1036,0.3,5.134623189,4.343629344,5.984555985,0.570569959,5.134623189,4.343629344,5.984555985,0.570569959,5,5,0,0.5,1.700217633,0.000847754,4.662665296,0.780988863,7.637363289,0.198852524,26.23469536,5.007574531,0,0,0,0,4,4,4,0,4.2,4,5,0.4,5,5,5,0,3,3,3,0,1,1,1,0,0,0,0,0,0.1801043,0,0,0
HUBERREGRESSOR,10,13821,1383,1382,0.3,5.100910058,4.341534009,6.005788712,0.46670906,5.100910058,4.341534009,6.005788712,0.46670906,2,1,1,0.166666667,0.270106451,1.15E-05,1.177560174,0,1.060340783,0.090684133,1.326197188,0,1,1,1,0,0.7,0,1,0.458257569,1.2,1,2,0.4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045901069,0,0,0.610864302
XGBRegressor,5,20736,4148,4147,0.4,4.986499053,4.388714734,5.425608874,0.350601945,4.986499053,4.388714734,5.425608874,0.350601945,3,3,0,0.166666667,1.260922104,0.005702374,4.463733064,1.213688103,7.255230521,1.196009342,23.77346286,6.297474278,0,0,0,0,3,3,3,0,3,3,3,0,3,3,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0.220228086,0,0,0
XGBRegressor,5,4606,922,921,0.4,4.993369934,4.234527687,6.51465798,0.897260362,4.993369934,4.234527687,6.51465798,0.897260362,2,2,0,1,1.693819462,0.0011418,4.828606409,0.992605254,9.011903975,0.1512402,30.86185392,7.066277483,0,0,0,0,1.8,1,2,0.4,2,2,2,0,2,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0.169444182,0,0,0.500402424
XGBRegressor,15,20731,1383,1382,0.249443826,5.016604702,4.124457308,6.512301013,0.663733332,5.016604702,4.124457308,6.512301013,0.663733332,1,1,0,0.166666667,0.285652229,8.50E-05,1.667192473,0,1.121966426,0.72221375,1.273860566,0,0,0,0,0,0.066666667,0,1,0.249443826,0.266666667,0,1,0.442216639,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013026531,0,0,0.244930027
HUBERREGRESSOR,10,11520,1152,1152,0,4.895833333,3.645833333,5.555555556,0.63099937,4.895833333,3.645833333,5.555555556,0.63099937,4,3,1,0.5,0.179169963,0.02477078,0.523213335,0.000866149,0.828676109,0.047927729,1.238401845,0.00059548,1,1,1,0,1.3,0,4,1.004987562,4,4,4,0,4,4,4,0,3,3,3,0,1,1,1,0,0,0,0,0,0.157378865,0,0,0.500402424
XGBRegressor,10,42041,4205,4204,0.3,5.033181128,4.281636537,5.637488107,0.418963725,5.033181128,4.281636537,5.637488107,0.418963725,4,4,0,0.166666667,1.309453034,0.003038655,4.770794955,0.877415432,6.59284594,0.132821314,26.98283319,4.982706444,0,0,0,0,4,4,4,0,4,4,4,0,4,4,4,0,3,3,3,0,1,1,1,0,0,0,0,0,0.165394553,0,0,0
XGBRegressor,10,31101,3111,3110,0.3,4.945171216,4.147909968,5.691318328,0.421069311,4.945171216,4.147909968,5.691318328,0.421069311,8,8,0,0.166666667,1.570377069,2.94E-06,4.68626602,0.679437961,9.083365029,0.043668205,26.92968653,3.54404697,0,0,0,0,7.1,5,8,0.830662386,7,7,7,0,8,8,8,0,3,3,3,0,1,1,1,0,4,4,4,0,0.011106466,3109,1036,0.325082973
XGBRegressor,5,31101,6221,6220,0.4,4.977319328,4.694533762,5.368911751,0.235252712,4.977319328,4.694533762,5.368911751,0.235252712,3,1,2,0.166666667,1.30522446,0.037327523,2.279197367,0,2.428634839,1.175317102,3.737681304,0,1.09760296,1,2,0,0.6,0,1,0.489897949,1.4,1,2,0.489897949,2.4,2,3,0.489897949,0,0,0,0,0,0,0,0,0,0,0,0,0.011524297,0,0,0.673011667
LASSO,5,14016,2804,2803,0.4,4.937205552,4.637887977,5.137352836,0.193334913,4.937205552,4.637887977,5.137352836,0.193334913,10,10,0,0.5,0.754079836,4.44E-06,3.555510191,0.54654541,4.842001857,0.307658483,19.89353871,2.784024451,0,0,0,0,9,9,9,0,9,9,9,0,10,10,10,0,3,3,3,0,1,1,1,0,5,5,5,0,0.214080258,2804,48,0
XGBRegressor,10,10361,1037,1036,0.3,4.970437444,4.536679537,6.268081003,0.520530012,4.970437444,4.536679537,6.268081003,0.520530012,4,4,0,0.166666667,0.559745192,0,3.654523528,0.710537765,2.976549404,0.41283973,16.03656616,3.318089742,0,0,0,0,0.9,0,2,0.538516481,3,3,3,0,3.9,3,4,0.3,2,2,2,0,0,0,0,0,0,0,0,0,0.061186341,0,0,0.325082973
XGBRegressor,5,7006,1402,1401,0.4,5.109759587,3.783012134,6.134094151,0.839369104,5.109759587,3.783012134,6.134094151,0.839369104,3,3,0,1,0.325059757,0.004319745,2.113047513,0.374829177,1.145746033,0.293358715,3.241006118,0.414902511,0,0,0,0,1.6,1,2,0.489897949,2,2,2,0,3,3,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0.640610731,0,0,0.673011667
XGBRegressor,15,34560,2304,2304,0,5.005787037,3.776041667,5.772569444,0.499331096,5.005787037,3.776041667,5.772569444,0.499331096,6,6,0,0.166666667,1.589055886,0.0003726,4.555584831,0.860710283,8.080061009,0.169213083,24.41099919,4.913030212,0,0,0,0,5.266666667,5,6,0.442216639,5.066666667,5,6,0.249443826,6,6,6,0,4,4,4,0,2,2,2,0,0,0,0,0,0.138406901,0,0,0
HUBERREGRESSOR,10,10361,1037,1036,0.3,5.038181866,3.861003861,5.888030888,0.671631457,5.038181866,3.861003861,5.888030888,0.671631457,6,6,0,0.166666667,0.05997298,8.92E-12,1.696571895,0.209147388,1.397782785,0.177598412,1.948572922,0.113280456,0,0,0,0,5.1,4,6,0.7,5,4,6,0.632455532,5.9,5,6,0.3,0,0,0,0,0,0,0,0,4,4,4,0,0.015272311,103,3,0
XGBRegressor,10,17280,1728,1728,0,4.947916667,4.166666667,5.555555556,0.475277482,4.947916667,4.166666667,5.555555556,0.475277482,6,6,0,0.166666667,2.139187828,7.99E-06,4.927115086,0.463116416,10.88395127,0.408509405,28.73614174,3.670745532,0,0,0,0,5,3,6,0.774596669,5,5,5,0,6,6,6,0,3,3,3,0,1,1,1,0,2,2,2,0,0.01503677,15,15,0.325082973
LinearSVR,5,6911,1383,1382,0.4,5.006503407,4.196816208,5.716353111,0.487251172,5.006503407,4.196816208,5.716353111,0.487251172,4,4,0,0.166666667,0.811305962,0.0225932,3.635070008,0.684294407,4.667138985,0.493072383,21.65494298,3.922447924,0,0,0,0,4,4,4,0,4,4,4,0,4,4,4,0,3,3,3,0,1,1,1,0,0,0,0,0,0.194141378,0,0,0
LASSO,5,27646,5530,5529,0.4,5.056789174,4.973774643,5.154639175,0.07376149,5.056789174,4.973774643,5.154639175,0.07376149,1,1,0,0.166666667,0.335893316,0.031595648,1.114315572,0,0.930482092,0.030836926,1.219889318,0,0,0,0,0,0.2,0,1,0.4,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011912174,0,0,0
XGBRegressor,5,17280,3456,3456,0,5.052083333,4.571759259,5.555555556,0.399095825,5.052083333,4.571759259,5.555555556,0.399095825,5,5,0,0.166666667,1.109389763,0.000340713,4.360140139,0.924591081,5.480426479,0.511414392,22.82292934,4.638348022,0,0,0,0,4.2,4,5,0.4,4.2,4,5,0.4,5,5,5,0,3,3,3,0,1,1,1,0,0,0,0,0,0.197137857,0,0,0
QUANTILEREGRESSOR,5,17280,3456,3456,0,4.94212963,3.96412037,5.613425926,0.598447906,4.94212963,3.96412037,5.613425926,0.598447906,5,5,0,0.166666667,0.434751242,0.000451801,0.91574395,0.131703711,1.219422105,0.010963462,2.762570098,0.172128952,0,0,0,0,5,5,5,0,5,5,5,0,5,5,5,0,4,4,4,0,2,2,2,0,0,0,0,0,0.21347215,0,0,0
QUANTILEREGRESSOR,10,41926,4193,4192,0.489897949,0,0,0,0,0,0,0,0,2,2,0,0.166666667,0.444452087,0.013793277,1.392552475,0.159578371,0.662714658,0.059134822,1.770687693,0.195341474,0,0,0,0,2,2,2,0,2,2,2,0,2,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0.89786243,0,0,0
LinearSVR,20,18320,916,916,0,0.012736536,0,0.254730713,0.055517272,0.010917031,0,0.218340611,0.047586233,1,1,0,0.016666667,1.285117652,0.051863944,2.514691833,0,2.584468597,0.068130423,9.886614081,0,0,0,0,0,0.55,0,1,0.497493719,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.493415579,0,0,0.688138814
XGBRegressor,5,6911,1383,1382,0.4,4.948762783,4.049168474,6.005788712,0.807186481,4.948762783,4.049168474,6.005788712,0.807186481,3,2,1,0.166666667,0.219156605,0.074057803,0.442890251,0.064204858,1.312772984,1.165730771,1.399301557,0.034032455,1,1,1,0,1,1,1,0,2,2,2,0,3,3,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0.089080651,0,0,0
XGBRegressor,5,27646,5530,5529,0.4,4.988074388,4.683544304,5.498281787,0.288066209,4.988074388,4.683544304,5.498281787,0.288066209,1,0,1,0.166666667,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030242757,0,0,0.500402424
LinearSVR,5,7006,1402,1401,0.4,5.095636803,4.568165596,5.710206995,0.481195663,5.095636803,4.568165596,5.710206995,0.481195663,5,5,0,1,2.031030255,1.39E-05,5.031299744,0.677370446,11.49887287,0.687963108,34.53773567,5.017447688,0,0,0,0,2.8,1,4,1.469693846,4.4,4,5,0.489897949,5,5,5,0,3,3,3,0,1,1,1,0,1,1,1,0,0.015436844,1402,1402,0.673011667
LASSO,5,42046,8410,8409,0.4,4.994529812,4.45950767,5.268165061,0.284813368,4.994529812,4.45950767,5.268165061,0.284813368,5,4,1,0.166666667,1.890491729,0.000232885,3.309364974,0.568207651,9.799375815,0.448398867,17.52646061,2.599129895,1,1,1,0,4,4,4,0,4,4,4,0,5,5,5,0,3,3,3,0,1,1,1,0,0,0,0,0,0.023506595,0,0,0
XGBRegressor,5,11520,2304,2304,0,4.939236111,4.383680556,5.46875,0.369714226,4.939236111,4.383680556,5.46875,0.369714226,6,5,1,0.5,1.208122403,0.005348397,4.386368226,0.643098557,4.32346155,0.080643288,22.19537656,3.596686803,1,1,1,0,4,1,5,1.549193338,5.2,5,6,0.4,6,6,6,0,4,4,4,0,2,2,2,0,0,0,0,0,0.112414545,0,0,0.500402424
HUBERREGRESSOR,5,38016,7604,7603,0.4,4.958430955,4.642904117,5.247238296,0.245338874,4.958430955,4.642904117,5.247238296,0.245338874,4,4,0,0.166666667,0.093463203,0.002767444,0.281371833,0.06266362,0.885904994,0.381465486,1.223817847,0.170808378,0,0,0,0,4,4,4,0,4,4,4,0,4,4,4,0,3,3,3,0,1,1,1,0,0,0,0,0,0.293849763,0,0,0
XGBRegressor,15,17280,1152,1152,0,5.05787037,3.472222222,6.076388889,0.656108116,5.05787037,3.472222222,6.076388889,0.656108116,6,6,0,0.166666667,1.963180907,2.08E-05,4.709055707,0.67692429,7.632459006,0.083916914,26.60973892,4.000200268,0,0,0,0,5.666666667,5,6,0.471404521,5.066666667,5,6,0.249443826,6,6,6,0,5,5,5,0,3,3,3,0,0,0,0,0,0.093184352,0,0,0
QUANTILEREGRESSOR,5,38016,7604,7603,0.4,4.940025474,4.642904117,5.155859529,0.182747908,4.940025474,4.642904117,5.155859529,0.182747908,10,10,0,0.166666667,0.368785415,6.63E-13,4.800673972,0.249485717,3.241619256,0.265107737,27.77754721,1.401266102,0,0,0,0,9.2,9,10,0.4,9,9,9,0,10,10,10,0,1,1,1,0,0,0,0,0,8,8,8,0,0.013831725,7604,1267,0
LinearSVR,10,12671,1268,1267,0.3,5.106140091,4.419889503,6.393054459,0.573491279,5.106140091,4.419889503,6.393054459,0.573491279,9,8,1,0.5,1.388034953,3.39E-07,3.616760581,0.368909526,8.122999481,0.736530523,19.78715643,1.77233774,1,1,1,0,7.2,4,8,1.6,8.3,8,9,0.458257569,9,9,9,0,4,4,4,0,2,2,2,0,3,3,3,0,0.05136573,1267,316,0.500402424
LinearSVR,5,42046,8410,8409,0.4,4.975499468,4.780592223,5.208704959,0.169844585,4.975499468,4.780592223,5.208704959,0.169844585,5,5,0,0.166666667,1.004741454,0.001583933,1.990958206,0.303141008,2.671188988,0.893687873,6.920978071,0.898657556,0,0,0,0,5,5,5,0,5,5,5,0,5,5,5,0,4,4,4,0,2,2,2,0,0,0,0,0,0.168012439,0,0,0
XGBRegressor,5,34560,6912,6912,0,4.924768519,4.788773148,5.049189815,0.097953188,4.924768519,4.788773148,5.049189815,0.097953188,6,5,1,0.166666667,1.802463707,0.011966402,4.56533794,0.63002649,8.182597929,0.416010342,24.26321247,4.136046362,1,1,1,0,4.8,1,6,1.939071943,5.4,5,6,0.489897949,6,6,6,0,4,4,4,0,2,2,2,0,0,0,0,0,0.041204689,0,0,0.500402424
XGBRegressor,10,10361,1037,1036,0.3,4.989947242,4.146576663,5.598455598,0.536407819,4.989947242,4.146576663,5.598455598,0.536407819,3,3,0,0.5,0.959704255,0.002292528,4.623225219,1.144915324,5.633425397,0.511054916,24.93142442,5.754515519,0,0,0,0,3,3,3,0,3,3,3,0,3,3,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0.428760088,0,0,0
XGBRegressor,5,5760,1152,1152,0,4.84375,3.993055556,5.729166667,0.594855615,4.84375,3.993055556,5.729166667,0.594855615,5,5,0,0.5,1.408732232,0.001575817,4.256224279,0.7479557,4.226994579,0.122384428,20.72651259,3.977838173,0,0,0,0,4.2,4,5,0.4,4,4,4,0,5,5,5,0,3,3,3,0,1,1,1,0,0,0,0,0,0.299948671,0,0,0
XGBRegressor,10,17280,1728,1728,0,5.081018519,4.282407407,6.30787037,0.574521928,5.081018519,4.282407407,6.30787037,0.574521928,6,6,0,0.166666667,1.154805528,7.89E-05,4.614956194,0.971469781,6.120853508,0.057662173,25.53151462,4.918371318,0,0,0,0,5.2,5,6,0.4,5.2,5,6,0.4,6,6,6,0,4,4,4,0,2,2,2,0,0,0,0,0,0.182108818,0,0,0
XGBRegressor,5,42046,8410,8409,0.4,4.977876458,4.756808182,5.1843044,0.137186506,4.977876458,4.756808182,5.1843044,0.137186506,2,1,1,0.166666667,0.884342977,0.104804064,2.432985768,0,1.989672423,1.019487717,4.993075126,0,1,1,1,0,0,0,0,0,0.6,0,1,0.489897949,1.6,1,2,0.489897949,0,0,0,0,0,0,0,0,0,0,0,0,0.014196973,0,0,0.673011667
HUBERREGRESSOR,10,38011,3802,3801,0.3,4.964350172,4.525124967,5.524861878,0.31633816,4.964350172,4.525124967,5.524861878,0.31633816,4,4,0,0.166666667,0.102087904,0.002591879,0.339937724,0.055549806,0.922779935,0.161841672,1.249608706,0.193498446,0,0,0,0,4,4,4,0,4,4,4,0,4,4,4,0,3,3,3,0,1,1,1,0,0,0,0,0,0.281420404,0,0,0
XGBRegressor,10,42041,4205,4204,0.3,5.014140884,4.519505233,5.517241379,0.313162376,5.014140884,4.519505233,5.517241379,0.313162376,4,4,0,0.166666667,0.172057829,6.03E-05,2.962585727,0.397221552,1.503611875,0.440176344,7.765532462,0.894248864,0,0,0,0,3.2,3,4,0.4,3.1,3,4,0.3,4,4,4,0,0,0,0,0,0,0,0,0,2,2,2,0,0.018109592,2,2,0.500402424
XGBRegressor,5,20736,4148,4147,0.4,5.020258397,4.726308175,5.618519412,0.308641459,5.020258397,4.726308175,5.618519412,0.308641459,4,3,1,0.166666667,2.480494844,0.294888788,4.609852819,0.000356481,12.40028144,0.819082013,25.96916282,0.007778024,1,1,1,0,2.8,1,4,1.469693846,4,4,4,0,4,4,4,0,3,3,3,0,1,1,1,0,0,0,0,0,0.032950798,0,0,0.673011667
XGBRegressor,10,10361,1037,1036,0.3,5.154011981,4.43587271,5.888030888,0.384962464,5.154011981,4.43587271,5.888030888,0.384962464,2,2,0,0.5,1.213051124,0.01265713,4.251278251,1.229133441,6.486699076,1.184488328,20.20224819,5.773614978,0,0,0,0,2,2,2,0,2,2,2,0,2,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0.258370967,0,0,0
XGBRegressor,5,38016,7604,7603,0.4,5.087329519,4.879652769,5.326844667,0.178427578,5.087329519,4.879652769,5.326844667,0.178427578,4,4,0,0.166666667,1.378144101,0.000486127,4.298046648,0.736540694,6.141041698,0.562796263,22.08637117,3.861491633,0,0,0,0,4,4,4,0,4,4,4,0,4,4,4,0,3,3,3,0,1,1,1,0,0,0,0,0,0.147580193,0,0,0
XGBRegressor,10,20731,2074,2073,0.3,5.248174048,4.727448143,5.981669079,0.367178809,5.248174048,4.727448143,5.981669079,0.367178809,4,4,0,0.166666667,1.124983249,2.44E-05,4.56661708,1.137861758,5.78268831,0.078433561,24.9484165,5.765053029,0,0,0,0,3.2,3,4,0.4,3.1,3,4,0.3,4,4,4,0,2,2,2,0,0,0,0,0,0,0,0,0,0.195885318,0,0,0
HUBERREGRESSOR,10,9211,922,921,0.3,4.993946974,3.908794788,5.748373102,0.451868491,4.993946974,3.908794788,5.748373102,0.451868491,4,4,0,0.5,0.051943811,0.010010246,0.147694645,0.021712378,0.745024058,0.44652017,1.212285015,0.039343232,0,0,0,0,4,4,4,0,4,4,4,0,4,4,4,0,3,3,3,0,1,1,1,0,0,0,0,0,0.47306033,0,0,0
LinearSVR,5,10366,2074,2073,0.4,4.939189217,4.293294742,5.303760849,0.341373227,4.939189217,4.293294742,5.303760849,0.341373227,4,4,0,0.166666667,0.239289302,0.022079672,0.539171396,0.086405175,0.757600514,0.29751098,1.211741052,0.118219243,0,0,0,0,4,4,4,0,4,4,4,0,4,4,4,0,3,3,3,0,1,1,1,0,0,0,0,0,0.247558747,0,0,0
